code,name,riskLevel,description
e202,Preservative E202,Review Needed,Seed catalog entry for E202 pending detailed additive review.
e203,Preservative E203,Review Needed,Seed catalog entry for E203 pending detailed additive review.
e204,Preservative E204,Review Needed,Seed catalog entry for E204 pending detailed additive review.
e205,Preservative E205,Review Needed,Seed catalog entry for E205 pending detailed additive review.
e206,Preservative E206,Review Needed,Seed catalog entry for E206 pending detailed additive review.
e207,Preservative E207,Review Needed,Seed catalog entry for E207 pending detailed additive review.
e208,Preservative E208,Review Needed,Seed catalog entry for E208 pending detailed additive review.
e209,Preservative E209,Review Needed,Seed catalog entry for E209 pending detailed additive review.
e210,Preservative E210,Review Needed,Seed catalog entry for E210 pending detailed additive review.
e211,Sodium benzoate,Moderate,Preservative commonly used in acidic drinks and sauces.
e212,Preservative E212,Review Needed,Seed catalog entry for E212 pending detailed additive review.
e213,Preservative E213,Review Needed,Seed catalog entry for E213 pending detailed additive review.
e214,Preservative E214,Review Needed,Seed catalog entry for E214 pending detailed additive review.
e215,Preservative E215,Review Needed,Seed catalog entry for E215 pending detailed additive review.
e216,Preservative E216,Review Needed,Seed catalog entry for E216 pending detailed additive review.
e217,Preservative E217,Review Needed,Seed catalog entry for E217 pending detailed additive review.
e218,Preservative E218,Review Needed,Seed catalog entry for E218 pending detailed additive review.
e219,Preservative E219,Review Needed,Seed catalog entry for E219 pending detailed additive review.
e220,Sulphur dioxide,High,Sulphite preservative that can trigger reactions in sensitive people.
e221,Preservative E221,Review Needed,Seed catalog entry for E221 pending detailed additive review.
e222,Preservative E222,Review Needed,Seed catalog entry for E222 pending detailed additive review.
e223,Preservative E223,Review Needed,Seed catalog entry for E223 pending detailed additive review.
e224,Preservative E224,Review Needed,Seed catalog entry for E224 pending detailed additive review.
e225,Preservative E225,Review Needed,Seed catalog entry for E225 pending detailed additive review.
e226,Preservative E226,Review Needed,Seed catalog entry for E226 pending detailed additive review.
e227,Preservative E227,Review Needed,Seed catalog entry for E227 pending detailed additive review.
e228,Preservative E228,Review Needed,Seed catalog entry for E228 pending detailed additive review.
e229,Preservative E229,Review Needed,Seed catalog entry for E229 pending detailed additive review.
e230,Preservative E230,Review Needed,Seed catalog entry for E230 pending detailed additive review.
e231,Preservative E231,Review Needed,Seed catalog entry for E231 pending detailed additive review.
e232,Preservative E232,Review Needed,Seed catalog entry for E232 pending detailed additive review.
e233,Preservative E233,Review Needed,Seed catalog entry for E233 pending detailed additive review.
e234,Preservative E234,Review Needed,Seed catalog entry for E234 pending detailed additive review.
e235,Preservative E235,Review Needed,Seed catalog entry for E235 pending detailed additive review.
e236,Preservative E236,Review Needed,Seed catalog entry for E236 pending detailed additive review.
e237,Preservative E237,Review Needed,Seed catalog entry for E237 pending detailed additive review.
e238,Preservative E238,Review Needed,Seed catalog entry for E238 pending detailed additive review.
e239,Preservative E239,Review Needed,Seed catalog entry for E239 pending detailed additive review.
e240,Preservative E240,Review Needed,Seed catalog entry for E240 pending detailed additive review.
e241,Preservative E241,Review Needed,Seed catalog entry for E241 pending detailed additive review.
e242,Preservative E242,Review Needed,Seed catalog entry for E242 pending detailed additive review.
e243,Preservative E243,Review Needed,Seed catalog entry for E243 pending detailed additive review.
e244,Preservative E244,Review Needed,Seed catalog entry for E244 pending detailed additive review.
e245,Preservative E245,Review Needed,Seed catalog entry for E245 pending detailed additive review.
e246,Preservative E246,Review Needed,Seed catalog entry for E246 pending detailed additive review.
e247,Preservative E247,Review Needed,Seed catalog entry for E247 pending detailed additive review.
e248,Preservative E248,Review Needed,Seed catalog entry for E248 pending detailed additive review.
e249,Preservative E249,Review Needed,Seed catalog entry for E249 pending detailed additive review.
e250,Preservative E250,Review Needed,Seed catalog entry for E250 pending detailed additive review.
e251,Preservative E251,Review Needed,Seed catalog entry for E251 pending detailed additive review.
e252,Preservative E252,Review Needed,Seed catalog entry for E252 pending detailed additive review.
e253,Preservative E253,Review Needed,Seed catalog entry for E253 pending detailed additive review.
e254,Preservative E254,Review Needed,Seed catalog entry for E254 pending detailed additive review.
e255,Preservative E255,Review Needed,Seed catalog entry for E255 pending detailed additive review.
e256,Preservative E256,Review Needed,Seed catalog entry for E256 pending detailed additive review.
e257,Preservative E257,Review Needed,Seed catalog entry for E257 pending detailed additive review.
e258,Preservative E258,Review Needed,Seed catalog entry for E258 pending detailed additive review.
e259,Preservative E259,Review Needed,Seed catalog entry for E259 pending detailed additive review.
e260,Preservative E260,Review Needed,Seed catalog entry for E260 pending detailed additive review.
e261,Preservative E261,Review Needed,Seed catalog entry for E261 pending detailed additive review.
e262,Preservative E262,Review Needed,Seed catalog entry for E262 pending detailed additive review.
e263,Preservative E263,Review Needed,Seed catalog entry for E263 pending detailed additive review.
e264,Preservative E264,Review Needed,Seed catalog entry for E264 pending detailed additive review.
e265,Preservative E265,Review Needed,Seed catalog entry for E265 pending detailed additive review.
e266,Preservative E266,Review Needed,Seed catalog entry for E266 pending detailed additive review.
e267,Preservative E267,Review Needed,Seed catalog entry for E267 pending detailed additive review.
e268,Preservative E268,Review Needed,Seed catalog entry for E268 pending detailed additive review.
e269,Preservative E269,Review Needed,Seed catalog entry for E269 pending detailed additive review.
e270,Preservative E270,Review Needed,Seed catalog entry for E270 pending detailed additive review.
e271,Preservative E271,Review Needed,Seed catalog entry for E271 pending detailed additive review.
e272,Preservative E272,Review Needed,Seed catalog entry for E272 pending detailed additive review.
e273,Preservative E273,Review Needed,Seed catalog entry for E273 pending detailed additive review.
e274,Preservative E274,Review Needed,Seed catalog entry for E274 pending detailed additive review.
e275,Preservative E275,Review Needed,Seed catalog entry for E275 pending detailed additive review.
e276,Preservative E276,Review Needed,Seed catalog entry for E276 pending detailed additive review.
e277,Preservative E277,Review Needed,Seed catalog entry for E277 pending detailed additive review.
e278,Preservative E278,Review Needed,Seed catalog entry for E278 pending detailed additive review.
e279,Preservative E279,Review Needed,Seed catalog entry for E279 pending detailed additive review.
e280,Preservative E280,Review Needed,Seed catalog entry for E280 pending detailed additive review.
e281,Preservative E281,Review Needed,Seed catalog entry for E281 pending detailed additive review.
e282,Preservative E282,Review Needed,Seed catalog entry for E282 pending detailed additive review.
e283,Preservative E283,Review Needed,Seed catalog entry for E283 pending detailed additive review.
e284,Preservative E284,Review Needed,Seed catalog entry for E284 pending detailed additive review.
e285,Preservative E285,Review Needed,Seed catalog entry for E285 pending detailed additive review.
e286,Preservative E286,Review Needed,Seed catalog entry for E286 pending detailed additive review.
e287,Preservative E287,Review Needed,Seed catalog entry for E287 pending detailed additive review.
e288,Preservative E288,Review Needed,Seed catalog entry for E288 pending detailed additive review.
e289,Preservative E289,Review Needed,Seed catalog entry for E289 pending detailed additive review.
e290,Preservative E290,Review Needed,Seed catalog entry for E290 pending detailed additive review.
e291,Preservative E291,Review Needed,Seed catalog entry for E291 pending detailed additive review.
e292,Preservative E292,Review Needed,Seed catalog entry for E292 pending detailed additive review.
e293,Preservative E293,Review Needed,Seed catalog entry for E293 pending detailed additive review.
e294,Preservative E294,Review Needed,Seed catalog entry for E294 pending detailed additive review.
e295,Preservative E295,Review Needed,Seed catalog entry for E295 pending detailed additive review.
e296,Preservative E296,Review Needed,Seed catalog entry for E296 pending detailed additive review.
e297,Preservative E297,Review Needed,Seed catalog entry for E297 pending detailed additive review.
e298,Preservative E298,Review Needed,Seed catalog entry for E298 pending detailed additive review.
e299,Preservative E299,Review Needed,Seed catalog entry for E299 pending detailed additive review.
e300,Antioxidant and acidity regulator E300,Review Needed,Seed catalog entry for E300 pending detailed additive review.
e301,Antioxidant and acidity regulator E301,Review Needed,Seed catalog entry for E301 pending detailed additive review.
e302,Antioxidant and acidity regulator E302,Review Needed,Seed catalog entry for E302 pending detailed additive review.
e303,Antioxidant and acidity regulator E303,Review Needed,Seed catalog entry for E303 pending detailed additive review.
e304,Antioxidant and acidity regulator E304,Review Needed,Seed catalog entry for E304 pending detailed additive review.
e305,Antioxidant and acidity regulator E305,Review Needed,Seed catalog entry for E305 pending detailed additive review.
e306,Antioxidant and acidity regulator E306,Review Needed,Seed catalog entry for E306 pending detailed additive review.
e307,Antioxidant and acidity regulator E307,Review Needed,Seed catalog entry for E307 pending detailed additive review.
e308,Antioxidant and acidity regulator E308,Review Needed,Seed catalog entry for E308 pending detailed additive review.
e309,Antioxidant and acidity regulator E309,Review Needed,Seed catalog entry for E309 pending detailed additive review.
e310,Antioxidant and acidity regulator E310,Review Needed,Seed catalog entry for E310 pending detailed additive review.
e311,Antioxidant and acidity regulator E311,Review Needed,Seed catalog entry for E311 pending detailed additive review.
e312,Antioxidant and acidity regulator E312,Review Needed,Seed catalog entry for E312 pending detailed additive review.
e313,Antioxidant and acidity regulator E313,Review Needed,Seed catalog entry for E313 pending detailed additive review.
e314,Antioxidant and acidity regulator E314,Review Needed,Seed catalog entry for E314 pending detailed additive review.
e315,Antioxidant and acidity regulator E315,Review Needed,Seed catalog entry for E315 pending detailed additive review.
e316,Antioxidant and acidity regulator E316,Review Needed,Seed catalog entry for E316 pending detailed additive review.
e317,Antioxidant and acidity regulator E317,Review Needed,Seed catalog entry for E317 pending detailed additive review.
e318,Antioxidant and acidity regulator E318,Review Needed,Seed catalog entry for E318 pending detailed additive review.
e319,Antioxidant and acidity regulator E319,Review Needed,Seed catalog entry for E319 pending detailed additive review.
e320,Antioxidant and acidity regulator E320,Review Needed,Seed catalog entry for E320 pending detailed additive review.
e321,Antioxidant and acidity regulator E321,Review Needed,Seed catalog entry for E321 pending detailed additive review.
e322,Lecithins,Low,Emulsifier commonly sourced from sunflower or soy.
e323,Antioxidant and acidity regulator E323,Review Needed,Seed catalog entry for E323 pending detailed additive review.
e324,Antioxidant and acidity regulator E324,Review Needed,Seed catalog entry for E324 pending detailed additive review.
e325,Antioxidant and acidity regulator E325,Review Needed,Seed catalog entry for E325 pending detailed additive review.
e326,Antioxidant and acidity regulator E326,Review Needed,Seed catalog entry for E326 pending detailed additive review.
e327,Antioxidant and acidity regulator E327,Review Needed,Seed catalog entry for E327 pending detailed additive review.
e328,Antioxidant and acidity regulator E328,Review Needed,Seed catalog entry for E328 pending detailed additive review.
e329,Antioxidant and acidity regulator E329,Review Needed,Seed catalog entry for E329 pending detailed additive review.
e330,Citric acid,Low,Acidity regulator widely found in fruit based products.
e331,Antioxidant and acidity regulator E331,Review Needed,Seed catalog entry for E331 pending detailed additive review.
e332,Antioxidant and acidity regulator E332,Review Needed,Seed catalog entry for E332 pending detailed additive review.
e333,Antioxidant and acidity regulator E333,Review Needed,Seed catalog entry for E333 pending detailed additive review.
e334,Antioxidant and acidity regulator E334,Review Needed,Seed catalog entry for E334 pending detailed additive review.
e335,Antioxidant and acidity regulator E335,Review Needed,Seed catalog entry for E335 pending detailed additive review.
e336,Antioxidant and acidity regulator E336,Review Needed,Seed catalog entry for E336 pending detailed additive review.
e337,Antioxidant and acidity regulator E337,Review Needed,Seed catalog entry for E337 pending detailed additive review.
e338,Antioxidant and acidity regulator E338,Review Needed,Seed catalog entry for E338 pending detailed additive review.
e339,Antioxidant and acidity regulator E339,Review Needed,Seed catalog entry for E339 pending detailed additive review.
e340,Antioxidant and acidity regulator E340,Review Needed,Seed catalog entry for E340 pending detailed additive review.
e341,Antioxidant and acidity regulator E341,Review Needed,Seed catalog entry for E341 pending detailed additive review.
e342,Antioxidant and acidity regulator E342,Review Needed,Seed catalog entry for E342 pending detailed additive review.
e343,Antioxidant and acidity regulator E343,Review Needed,Seed catalog entry for E343 pending detailed additive review.
e344,Antioxidant and acidity regulator E344,Review Needed,Seed catalog entry for E344 pending detailed additive review.
e345,Antioxidant and acidity regulator E345,Review Needed,Seed catalog entry for E345 pending detailed additive review.
e346,Antioxidant and acidity regulator E346,Review Needed,Seed catalog entry for E346 pending detailed additive review.
e347,Antioxidant and acidity regulator E347,Review Needed,Seed catalog entry for E347 pending detailed additive review.
e348,Antioxidant and acidity regulator E348,Review Needed,Seed catalog entry for E348 pending detailed additive review.
e349,Antioxidant and acidity regulator E349,Review Needed,Seed catalog entry for E349 pending detailed additive review.
e350,Antioxidant and acidity regulator E350,Review Needed,Seed catalog entry for E350 pending detailed additive review.
e351,Antioxidant and acidity regulator E351,Review Needed,Seed catalog entry for E351 pending detailed additive review.
e352,Antioxidant and acidity regulator E352,Review Needed,Seed catalog entry for E352 pending detailed additive review.
e353,Antioxidant and acidity regulator E353,Review Needed,Seed catalog entry for E353 pending detailed additive review.
e354,Antioxidant and acidity regulator E354,Review Needed,Seed catalog entry for E354 pending detailed additive review.
e355,Antioxidant and acidity regulator E355,Review Needed,Seed catalog entry for E355 pending detailed additive review.
e356,Antioxidant and acidity regulator E356,Review Needed,Seed catalog entry for E356 pending detailed additive review.
e357,Antioxidant and acidity regulator E357,Review Needed,Seed catalog entry for E357 pending detailed additive review.
e358,Antioxidant and acidity regulator E358,Review Needed,Seed catalog entry for E358 pending detailed additive review.
e359,Antioxidant and acidity regulator E359,Review Needed,Seed catalog entry for E359 pending detailed additive review.
e360,Antioxidant and acidity regulator E360,Review Needed,Seed catalog entry for E360 pending detailed additive review.
e361,Antioxidant and acidity regulator E361,Review Needed,Seed catalog entry for E361 pending detailed additive review.
e362,Antioxidant and acidity regulator E362,Review Needed,Seed catalog entry for E362 pending detailed additive review.
e363,Antioxidant and acidity regulator E363,Review Needed,Seed catalog entry for E363 pending detailed additive review.
e364,Antioxidant and acidity regulator E364,Review Needed,Seed catalog entry for E364 pending detailed additive review.
e365,Antioxidant and acidity regulator E365,Review Needed,Seed catalog entry for E365 pending detailed additive review.
e366,Antioxidant and acidity regulator E366,Review Needed,Seed catalog entry for E366 pending detailed additive review.
e367,Antioxidant and acidity regulator E367,Review Needed,Seed catalog entry for E367 pending detailed additive review.
e368,Antioxidant and acidity regulator E368,Review Needed,Seed catalog entry for E368 pending detailed additive review.
e369,Antioxidant and acidity regulator E369,Review Needed,Seed catalog entry for E369 pending detailed additive review.
e370,Antioxidant and acidity regulator E370,Review Needed,Seed catalog entry for E370 pending detailed additive review.
e371,Antioxidant and acidity regulator E371,Review Needed,Seed catalog entry for E371 pending detailed additive review.
e372,Antioxidant and acidity regulator E372,Review Needed,Seed catalog entry for E372 pending detailed additive review.
e373,Antioxidant and acidity regulator E373,Review Needed,Seed catalog entry for E373 pending detailed additive review.
e374,Antioxidant and acidity regulator E374,Review Needed,Seed catalog entry for E374 pending detailed additive review.
e375,Antioxidant and acidity regulator E375,Review Needed,Seed catalog entry for E375 pending detailed additive review.
e376,Antioxidant and acidity regulator E376,Review Needed,Seed catalog entry for E376 pending detailed additive review.
e377,Antioxidant and acidity regulator E377,Review Needed,Seed catalog entry for E377 pending detailed additive review.
e378,Antioxidant and acidity regulator E378,Review Needed,Seed catalog entry for E378 pending detailed additive review.
e379,Antioxidant and acidity regulator E379,Review Needed,Seed catalog entry for E379 pending detailed additive review.
e380,Antioxidant and acidity regulator E380,Review Needed,Seed catalog entry for E380 pending detailed additive review.
e381,Antioxidant and acidity regulator E381,Review Needed,Seed catalog entry for E381 pending detailed additive review.
e382,Antioxidant and acidity regulator E382,Review Needed,Seed catalog entry for E382 pending detailed additive review.
e383,Antioxidant and acidity regulator E383,Review Needed,Seed catalog entry for E383 pending detailed additive review.
e384,Antioxidant and acidity regulator E384,Review Needed,Seed catalog entry for E384 pending detailed additive review.
e385,Antioxidant and acidity regulator E385,Review Needed,Seed catalog entry for E385 pending detailed additive review.
e386,Antioxidant and acidity regulator E386,Review Needed,Seed catalog entry for E386 pending detailed additive review.
e387,Antioxidant and acidity regulator E387,Review Needed,Seed catalog entry for E387 pending detailed additive review.
e388,Antioxidant and acidity regulator E388,Review Needed,Seed catalog entry for E388 pending detailed additive review.
e389,Antioxidant and acidity regulator E389,Review Needed,Seed catalog entry for E389 pending detailed additive review.
e390,Antioxidant and acidity regulator E390,Review Needed,Seed catalog entry for E390 pending detailed additive review.
e391,Antioxidant and acidity regulator E391,Review Needed,Seed catalog entry for E391 pending detailed additive review.
e392,Antioxidant and acidity regulator E392,Review Needed,Seed catalog entry for E392 pending detailed additive review.
e393,Antioxidant and acidity regulator E393,Review Needed,Seed catalog entry for E393 pending detailed additive review.
e394,Antioxidant and acidity regulator E394,Review Needed,Seed catalog entry for E394 pending detailed additive review.
e395,Antioxidant and acidity regulator E395,Review Needed,Seed catalog entry for E395 pending detailed additive review.
e396,Antioxidant and acidity regulator E396,Review Needed,Seed catalog entry for E396 pending detailed additive review.
e397,Antioxidant and acidity regulator E397,Review Needed,Seed catalog entry for E397 pending detailed additive review.
e398,Antioxidant and acidity regulator E398,Review Needed,Seed catalog entry for E398 pending detailed additive review.
e399,Antioxidant and acidity regulator E399,Review Needed,Seed catalog entry for E399 pending detailed additive review.
e400,Texture enhancer E400,Review Needed,Seed catalog entry for E400 pending detailed additive review.
e401,Texture enhancer E401,Review Needed,Seed catalog entry for E401 pending detailed additive review.
e402,Texture enhancer E402,Review Needed,Seed catalog entry for E402 pending detailed additive review.
e403,Texture enhancer E403,Review Needed,Seed catalog entry for E403 pending detailed additive review.
e404,Texture enhancer E404,Review Needed,Seed catalog entry for E404 pending detailed additive review.
e405,Texture enhancer E405,Review Needed,Seed catalog entry for E405 pending detailed additive review.
e406,Texture enhancer E406,Review Needed,Seed catalog entry for E406 pending detailed additive review.
e407,Carrageenan,Moderate,Seaweed based thickener often discussed in clean label reviews.
e408,Texture enhancer E408,Review Needed,Seed catalog entry for E408 pending detailed additive review.
e409,Texture enhancer E409,Review Needed,Seed catalog entry for E409 pending detailed additive review.
e410,Texture enhancer E410,Review Needed,Seed catalog entry for E410 pending detailed additive review.
e411,Texture enhancer E411,Review Needed,Seed catalog entry for E411 pending detailed additive review.
e412,Texture enhancer E412,Review Needed,Seed catalog entry for E412 pending detailed additive review.
e413,Texture enhancer E413,Review Needed,Seed catalog entry for E413 pending detailed additive review.
e414,Texture enhancer E414,Review Needed,Seed catalog entry for E414 pending detailed additive review.
e415,Xanthan gum,Low,Fermentation derived thickener used for texture stability.
e416,Texture enhancer E416,Review Needed,Seed catalog entry for E416 pending detailed additive review.
e417,Texture enhancer E417,Review Needed,Seed catalog entry for E417 pending detailed additive review.
e418,Texture enhancer E418,Review Needed,Seed catalog entry for E418 pending detailed additive review.
e419,Texture enhancer E419,Review Needed,Seed catalog entry for E419 pending detailed additive review.
e420,Texture enhancer E420,Review Needed,Seed catalog entry for E420 pending detailed additive review.
e421,Texture enhancer E421,Review Needed,Seed catalog entry for E421 pending detailed additive review.
e422,Texture enhancer E422,Review Needed,Seed catalog entry for E422 pending detailed additive review.
e423,Texture enhancer E423,Review Needed,Seed catalog entry for E423 pending detailed additive review.
e424,Texture enhancer E424,Review Needed,Seed catalog entry for E424 pending detailed additive review.
e425,Texture enhancer E425,Review Needed,Seed catalog entry for E425 pending detailed additive review.
e426,Texture enhancer E426,Review Needed,Seed catalog entry for E426 pending detailed additive review.
e427,Texture enhancer E427,Review Needed,Seed catalog entry for E427 pending detailed additive review.
e428,Texture enhancer E428,Review Needed,Seed catalog entry for E428 pending detailed additive review.
e429,Texture enhancer E429,Review Needed,Seed catalog entry for E429 pending detailed additive review.
e430,Texture enhancer E430,Review Needed,Seed catalog entry for E430 pending detailed additive review.
e431,Texture enhancer E431,Review Needed,Seed catalog entry for E431 pending detailed additive review.
e432,Texture enhancer E432,Review Needed,Seed catalog entry for E432 pending detailed additive review.
e433,Texture enhancer E433,Review Needed,Seed catalog entry for E433 pending detailed additive review.
e434,Texture enhancer E434,Review Needed,Seed catalog entry for E434 pending detailed additive review.
e435,Texture enhancer E435,Review Needed,Seed catalog entry for E435 pending detailed additive review.
e436,Texture enhancer E436,Review Needed,Seed catalog entry for E436 pending detailed additive review.
e437,Texture enhancer E437,Review Needed,Seed catalog entry for E437 pending detailed additive review.
e438,Texture enhancer E438,Review Needed,Seed catalog entry for E438 pending detailed additive review.
e439,Texture enhancer E439,Review Needed,Seed catalog entry for E439 pending detailed additive review.
e440,Texture enhancer E440,Review Needed,Seed catalog entry for E440 pending detailed additive review.
